V1,V2,V3
-126.681114551084,48.383306836248,-2076.57421875
-126.66439628483,48.383306836248,-2013.06384277344
-126.647678018576,48.383306836248,-2024.11389160156
-126.630959752322,48.383306836248,-2068.5439453125
-126.614241486068,48.383306836248,-1806.65380859375
-126.597523219814,48.383306836248,-1563.52380371094
-126.58080495356,48.383306836248,-1457.14379882812
-126.564086687306,48.383306836248,-1411.48388671875
-126.547368421053,48.383306836248,-1423.673828125
-126.530650154799,48.383306836248,-1412.18212890625
-126.513931888545,48.383306836248,-1371.22204589844
-126.497213622291,48.383306836248,-1395.71203613281
-126.480495356037,48.383306836248,-1416.06201171875
-126.463777089783,48.383306836248,-1408.3720703125
-126.447058823529,48.383306836248,-1392.59204101562
-126.430340557276,48.383306836248,-1333.28210449219
-126.413622291022,48.383306836248,-1271.01208496094
-126.396904024768,48.383306836248,-1220.89916992188
-126.380185758514,48.383306836248,-1160.69921875
-126.36346749226,48.383306836248,-1188.38916015625
-126.346749226006,48.383306836248,-1238.20922851562
-126.330030959752,48.383306836248,-1219.77917480469
-126.313312693498,48.383306836248,-1205.619140625
-126.296594427245,48.383306836248,-1174.25915527344
-126.279876160991,48.383306836248,-1083.6591796875
-126.263157894737,48.383306836248,-1009.37677001953
-126.246439628483,48.383306836248,-987.15673828125
-126.229721362229,48.383306836248,-970.436767578125
-126.213003095975,48.383306836248,-951.586791992188
-126.196284829721,48.383306836248,-835.606750488281
-126.179566563468,48.383306836248,-611.44677734375
-126.162848297214,48.383306836248,-480.836761474609
-126.14613003096,48.383306836248,-414.186767578125
-126.129411764706,48.383306836248,-378.410980224609
-126.112693498452,48.383306836248,-360.040985107422
-126.095975232198,48.383306836248,-348.350982666016
-126.079256965944,48.383306836248,-357.940979003906
-126.06253869969,48.383306836248,-388.610992431641
-126.045820433437,48.383306836248,-403.151000976562
-126.029102167183,48.383306836248,-472.460998535156
-126.012383900929,48.383306836248,-437.190979003906
-125.995665634675,48.383306836248,-314.609344482422
-125.978947368421,48.383306836248,-487.019348144531
-125.962229102167,48.383306836248,-555.509338378906
-125.945510835913,48.383306836248,-604.009338378906
-125.928792569659,48.383306836248,-479.249328613281
-125.912074303406,48.383306836248,-428.989318847656
-125.895356037152,48.383306836248,-399.409332275391
-125.878637770898,48.383306836248,-264.129333496094
-125.861919504644,48.383306836248,-165.517654418945
-125.84520123839,48.383306836248,-153.247650146484
-125.828482972136,48.383306836248,-151.157653808594
-125.811764705882,48.383306836248,-150.837661743164
-125.795046439628,48.383306836248,-151.517654418945
-125.778328173375,48.383306836248,-154.267654418945
-125.761609907121,48.383306836248,-156.077651977539
-125.744891640867,48.383306836248,-147.737655639648
-125.728173374613,48.383306836248,-145.462646484375
-125.711455108359,48.383306836248,-147.742660522461
-125.694736842105,48.383306836248,-149.392654418945
-125.678018575851,48.383306836248,-150.612655639648
-125.661300309598,48.383306836248,-149.442657470703
-125.644582043344,48.383306836248,-145.762649536133
-125.62786377709,48.383306836248,-141.882659912109
-125.611145510836,48.383306836248,-141.202651977539
-125.594427244582,48.383306836248,-143.391571044922
-125.577708978328,48.383306836248,-145.141571044922
